tweet_text	class_label
دخلت اسجل لقاح بمستشفى الجامعه وبيومين صار كل هالثلاث شهور فُل مواعيد تساؤولي هو وين اللي يقولون انهم خايفين؟	0
تعرّف على أول دولة ستحصل على اللقاح الروسي ضد #كورونا https://t.co/OQUSBCM0jf	0
البروفيسورة سارة جيلبرت قائدة فريق العمل في لقاح جامعة أكسفورد قامت بتطعيم ابنائها التوأم الثلاثة بلقاح #كورونا وهم يبلغون من العمر 21 سنة وجميعهم يدرسون الكيمياء الحيوية بنفس الجامعة ! جيلبرت : أنا لست قلقة ونحن نعمل إختبارات امنه للجميع https://t.co/blP6PGl9zX	0
"#الصين :اللقاح المضاد ل #فيروس_كورونا سيكون متاحا تجاريا بحلول نهاية العام الجاري. وأوضح ليو جينغ تشن رئيس شركة الصين الدوائية(سينو فارم)لصحيفة ""جوانغمينغ ديلي"" التابعة للحزب الشيوعي الصيني،إن لقاح كورونا سيكلف أقل من1000 يوان(140 دولارا)،وسيتم إعطاؤه في جرعتين كل 28 يوما.#سكاي https://t.co/iQmpMEveYt"	0
وزير الصحة الروسى: تطعيم الأطباء بلقاح #كورونا سيكون تطوعا وليس إجبارا #روسيا https://t.co/XRuwV4OFrr	0
الرئيس الروسي يعلن عبر صفحته على الفسبوك انه سيتم تسجيل اول لقاح لفيروس كورونا خلال الايام المقبلة ولن يكون فقط لروسيا بل سيتاح لجميع العالم هل ستنقذ روسيا العالم ؟ #كورونا	0
"فاوتشي يحذر من ""سلبية"" التعجيل باستخدام لقاح لكوفيد-19 https://t.co/2WxUJDftKe #كورونا"	0
#كورونا #روسيا @salrashed حوار جميل مدته تقريباً نصف ساعه يستميت خلالها دبلوماسي روسي متقاعد لإثبات نجاح وفاعلية اللقاح الروسي وعندما سأله المحاور هل ستأخذ اللقاح شخصياً؟ كانت المفاجأة 😁قال انا لأؤمن باللقاحات ولم أخذ لقاحات لاأنا ولاأسرتي أنا أؤمن بالعلاجات الطبيعية👇🏼👇🏼😂 https://t.co/4prLLOgBzk https://t.co/H9m40bNtzx	1
"#فاوتشي يحذر من لقاح كورونا.. ويحث على ""الكمامة"" #Covid19 #كورونا #corona #كوفيد_19 https://t.co/74CMLmvSwW"	1
المنطقة الصناعية القديمة في #قطر تقود الدولة إلى كارثة حقيقية بسبب تهرب ورفض العمال لإجراءات العزل، تحتل قطر أعلى عدد إصابات بوباء #كورونا من بين دول الخليج، ولازال يصر مسؤولي الحكومة على توجيه الإعلام لمهاجمة دول المقاطعة هربًا إلى الأمام بدلًا من حفظ وحشد الجهود لمواجهة الكارثة	1
اللقاح الروسي ضد #كورونا .. 📌20 دولة طلبت مسبقا ”أكثر من مليار جرعة“. 📌الإنتاج الصناعي سيبدأ الشهر القادم. 📌اللقاح أُطلق عليه تسمية (سبوتنيك في) : -(سبوتنيك) تيمناً باسم القمر الصناعي السوفياتي. - (في) تمثل أول حرف من كلمة لقاح في عدة لغات. https://t.co/El29oSEThy	0
"#روسيا تعلن تسجيلها رسمياً ""أول لقاح"" ضد فيروس #كورونا.. وبوتين يؤكد اختباره على ابنته.. وسط مخاوف وحذر عالمي من سرعة إنتاج اللقاح وفاعليته.. فما القصة؟ https://t.co/6mAdAtshKJ"	0
"اليوم الثاني بعد اخذ اللقاح التجريبي لفيروس #كورونا ، شعرت بخمول بسيط بداية الصباح وهناك الم خفيف موقع حقنة اللقاح ""الكتف اليسار"" حرارة الجسم كانت عادية 37:3 #من_أجل_الإنسانية #لإجل_الإنسانية https://t.co/xnELZt710J"	0
بيان خطير حول #لقاح_كورونا 🔴من المهدي المنتظر إلى كافة أطباء البشر مسلمهم والكافر.. بقلم الإمام المهدي المنتظر ناصر محمد اليماني 23 فبراير 2021م. التفاصيل 👇 . https://t.co/s81gHV669Z	1
حتى الان العلاج الاقوى والاهم والمؤكد لفايروس كورونا بإرادة الله هو التباعد الاجتماعي والبقاء في منازلنا. في حال الالتزام بذلك فمن المؤكد بحول الله ان تتناقص الحالات وتبدأ في الانخفاض والسيطره عليه ريثما يتم اكتشاف لقاح لهذا الفايروس. (الالتزام هو العلاج) #كلنا_مسؤول #كورونا	0
مصر والصين توقعان اتفاقية تعاون لتصنيع لقاح كورونا الشهر ااقادم https://t.co/c5xFoGDu6Q	0
بالفيديو.. #توب_5: #قرقاش يتحدث عن فرصة #إسرائيل مع الاقتصاد العربي.. و #روسيا تبدأ إنتاج لقاح #كورونا https://t.co/46mptk4fof	0
@MOPHQatar الرئيس التنفيذي لشركة AstraZeneca باسكال سوريوت قال انهم انتجوا 100 مليون جرعة ضد فيروس كورونا لقاح جامعة اكسفورد يكون متاح خلال اشهر https://t.co/SrXAGb5pyg	0
@ggmmaaiill1020 @aly_maryam سلامتك، اي صحيح ال fizer قالوا عندو هيك بعض الآثار الجانبية الخفيفة، إجمالا في كتير لقاحات كنا ناخدها نحن وصغار عندها هيك عوارض ل يومين	0
أعلنت #روسيا اليوم الثلاثاء إطلاق اسم Sputnik V على لقاح فيروس #كورونا الجديد الذي سجلته الحكومة الروسية بعدما طوره معهد جاماليا في العاصمة موسكو .. الإعلان عن أول لقاح مضاد ل #كورونا في العالم، #شكرا_روسيا #شكرا_بوتين #روسيا https://t.co/gLdrikvKbH	0
نبذة عن مركز تطعيم فايروس كورونا بمستشفى الهيئة بـ #ينبع الصناعية. • تستمر حملة التطعيم طيلة أيام الأسبوع من الساعة 4م حتى 10م في مبنى العيادات القديم. • التسجيل لأخذ اللقاح وفق الأولوية من خلال التطبيق الخاص بالمركز الطبي: https://t.co/0LSYLcVhRy https://t.co/oyJsG6MTvt	0
إجمالي عدد الإصابات بفيروس #كورونا في أنحاء العالم يتجاوز 1ر115 مليون وإعطاء 271 مليون جرعة لقاح.	0
