tweet_text	class_label
Geweldig om te zien! Alle zorgmedewerkers: bedankt!!💪 #coronavirus #coronavirusNederland https://t.co/ZKU1vQhdSe	0
@wskamphuis Die vertaling viel mij ook op. #hamsteren	0
Heerlijk avondje met Youp van 't Hek op de bank #lachengierenbrullen #coronanederland #blijfthuis https://t.co/WJuUeYsZVy	0
Is het al bijna 1 april? Voortaan graag 1 week van tevoren starten, nu moet ik m’n komt afvegen met natte doekjes🤮 #coronavirusNederland	0
Nieuws over met #COVID19 besmette nertsenbedrijven wordt ook internationaal opgepakt, waaronder Newsweek. 'Both of the infected farms are located in the southern province of Noord-Brabant; also one of the areas worst affected by the new coronavirus'.  https://t.co/9XtqkF1C4X	0
Doe eens iets aan die fotografen die de hele tijd door het beeld lopen. #persconferentie #corona #fail	0
Is er geen Nederlandse #fabriek voor #mondkapjes? #Nederland is #creatief, morgen beginnen? #corona #zorg #coronadebat	0
@roelvanmaercke #Corona Ik wed niet want ik heb geen zin om geld te verliezen. #COVID19 #RamadanCountdown En @BartSomers zal er persoonlijk op toezien dat moslims die de versoepelde regels overtreden,geen boete krijgen maar hooguit een influencer. @Sophie_Wilmes @Maggie_DeBlock @RuttenGwendolyn	0
@HildeDemarre @ChildFocusNL Oh dat doet deugd...we hebben bij @ChildFocusNL dan ook het beste team ever!! #samentegencorona #samensterk	0
De waarheid komt uit een kindermond 😂😂  #COVID19  #teamflauwemopjes https://t.co/RKwOXq9eEt	0
Kut Corona.. Blijf nou thuis mensen! #blijfthuis #COVID19	0
Hoe ervaart #Haarlemmermeer #thuiswerken, thuis #onderwijs of gewoon aan huis gekluisterd zijn? Fotograaf @MartineGoulmy brengt dit in beeld met raamfoto’s. Benieuwd? Lees het artikel. Wil jij een raamfoto? Neem contact op met @MartineGoulmy. https://t.co/GUkAxmJQmD https://t.co/zI2ezN72Ds	0
Die eet voorlopig geen vleermuizen meer! #COVID19NL https://t.co/Z7dFxpLECi	0
Wij geven elkaar geen hand meer, is ook al heel wat #COVID19 https://t.co/7NkV9CcmMu	0
#blijfthuis #bliefthoes Daarom foto's uit het archief van #BekiekTwente.  24 april 2015: * De Posse #Goor * Boven Regge #Goor #HofvanTwente  * Zunasche heide #Zuna #Wierden * kombord #Ligtenberg #Hellendoorn https://t.co/Z4eWCTJbKn	0
Nu live op radio en Facebook Perry Zuidam live vanuit zijn eigen tuin . #blijfthuis concert .	0
#Thuisonderwijs door @Petronellakoele is begonnen. 2 aan het leren en 2 in de poppenhoek. Nu pauze en wat lekkers. https://t.co/ff52y8VaI5	0
Lijken goede maatregelen van het kabinet. #COVID2019 #coronavirus #persconferentie	0
@ja_zij Ja dat thuiswerken word lastig, bij ons op afdeling ieder één bewoner mee naar huis🙈 #corona#thuiswerken	0
Ik zie zomaar TWEE vliegtuigen in de overigens helblauwe lucht. #COVID19 https://t.co/XedTvfyEsr	0
Ik hoop wel dat de scheikundeleraren hun instructies heeeeeeel duidelijk maken. ⚗️🧪🔥💥  #Thuisonderwijs #onderwijsopafstand #COVID2019NL https://t.co/XepgcDIuDo	0
Corona is ook uw achtertuin leren appreciëren #COVID19 #8210 #natureishealing https://t.co/Tq2cxGj5LR	0
rivm is nr.5 trending hashtag in NL in afgelopen 4 uur. https://t.co/ECVjpdUgpG #rivm	0
#persconferentie: Sport: alleen sporten = geen probleem, en kinderen t/m 12 jaar mogen vanaf 28 apr weer buiten trainen. Middelbare schoolleeftijd t/m 18 jaar: ook buiten sporten, wel met 1,5 meter afstand. Geen ouders langs de lijn, thuis douchen #coronamaatregelen #coronacrisis	0
Het is alweer week 3 van het #thuiswerken. We worden er langzaam handiger in, maar die verkeerde houding omdat stoel, bureau en beeldscherm niet goed staan wordt  nu toch wel vervelend.  Download de infographic thuiswerken https://t.co/u5jHdzSSiY https://t.co/hvXnj29JEp	0
DAADKRACHTIG! Wat fijn dat in tijden van crisis er zo snel gehandeld wordt. Complimenten! #persconferentie #coronavirus #COVID2019NL #zzp #kabinet #endoor #deboelaandeganghouden	0
Dopen op afstand #COVID19Pandemic https://t.co/6fteOPvCKy	0
Ode aan @vanranstmarc #coronavirus #COVID19BE #covid19 #manvanhetjaar  https://t.co/S5kLlRZRrj	0
#RIVM Ik ben er rustig onder hoor. Geen paniek.	0
#COVID19 is al besmettelijk, ca 2 dagen VOORDAT de patiënt #symptomen voelt. Daarom is de 1.5 m samenleving, voor iedereen, nuttig voor het dempen van de epidemie  MAAR, @rivm zegt dat je pas in isolatie moet ALS je de symptomen zelf opmerkt Daarmee zijn ze dus te laat https://t.co/WVJjwq5rEC	0
@de_NVA Dit gaat de boeken in! #COVID19Belgium #COVIDー19 https://t.co/l6UuCS4Xqf	0
@BNDeStem Waarom zou je nu naar de woonboulevard willen gaan?! #blijfthuis https://t.co/4zkBi6aahG	0
Kijken(2)!👇Met dank aan @Nieuwsuur over #groepsimmuniteit #lockdown #coronavirus 😷 #coronavirusNederland #coronanl #CoronaCrisis #Nieuwsuur https://t.co/haiOmSkZKR	0
Heel de wereld:  testen, isoleren, genezen  Nederland:  Oeps, de testsetjes zijn op  AF  #rivm #COVID2019NL #coronavirusNederland	0
Breaking #ITALIË ✝️✝️✝️ Hoopvolle WE-UPDATE +525 #DODEN (totaal 15.887) *** +4.805 nieuwe besmettingen (totaal nu 124.632)  *** 1 op 8 Italianen die getest wordt blijkt positief te zijn *** 3 dalende trends doden,  ICU's en ziekenhuisopname's *** meer gezinnen gedwongen isolatie https://t.co/uQHJ0lnXbk	0
@JSchilderswijk @marcelbar8 @lorelei3112 Niet snel. Gecontroleerd. Haastige spoed...  Zéker in deze situatie.  #BlijfThuis	0
Ik ben aan m’n vierde boek deze week begonnen. Wat lezen jullie? #blijfthuis https://t.co/edbNlvyTKf	0
@covid19nl Mogen de #kinderen ook eerst #testen aub #mijnkindblijftthuis	0
#socialdistancing #COVID19 het gaat lekker daar op het eiland. https://t.co/uZzIVD3skY via @HLN_BE	0
Wanneer wordt er nu echt hard ingegrepen @rivm? @MinPres #coronavirusNederland https://t.co/FMUslwToY8	0
@polgroningen Wie heeft de sleutel van dat gebouw op de Grote Markt? Het bestuur of álle leden van #vindicat	0
Zit jij ondanks de mogelijkheid tot #ikleesthuis in een #leesdip? Kijk eens voor tips op #hebban doe mee aan de #hebbanreadingchallenge en schrijf je in voor de #ikleesthuisleesclub. Kijk hier voor de challengeupdate https://t.co/VGcefLe1KR	0
😂 lekker met z’n allen een evenement met meer dan 100 hamsteraars organiseren in de supermarkt. #gezondverstand #Covid_19	0
#coronavirus #rivm #CoronaVirusUpdate #COVID19  HOE IS HET NU MET #Minister mInister #blok na het IRAN BEZOEKJE ?#Kabinet of mag dat niemand weten dat hij besmet is ?	1
Mensen er is nog genoeg in de winkels laat je niet gek maken 😜 #hamsteren #nietnodig #ooknietgaandoen https://t.co/FqbXnzTULI	0
Als ze deze muziek op hun site zetten, dan is het pas echt crisis. #Rivm https://t.co/2AueQch6Ja https://t.co/Fv8FDohX6z	0
@ChrisD_13 Ze claimen tussen neus en lippen door de hashtag #BlijfThuis. Eens een kleptomaan, altijd een kleptomaan	0
Weet iemand hoe dit in NL zit?  Hoe lang ga jein zo'n pak als hulpverleners? #zorg #coronavirusNederland  #Covid_19  #COVID19  #dtv https://t.co/YUrWsoAc6V	0
Is er al sprake van Uithuisgaan - schaamte? Lijkt er niet echt op wel? #covid19Nederland https://t.co/gyHs4XbZC5	0
Anyone #AartGisolf #TVdokter Juist nu! Wie kan dat doen? #coronavirusNederland	0
Wat een geluk dat mensen over het algemeen in kleine groepjes reizen.  #Covid_19 #coronavirus #COVID19 #coronanl #coronavirusnetherlands   https://t.co/SPyqTYBGHC	0
Dan maar de billen vegen met keukenpapier.. #hamsteren https://t.co/kQRR65wYKo	0
Er was letterlijk niks aan de hand op school, en nu opeens geen les meer? #Covid_19	0
Herkenbaar?  Uren in bad gaan om je huisgenoten te mijden? Of ben ik echt de enige? #blijfthuis #StayAtHome #Covid_19 #lockdown	0
Zou volgens @ANanninga ons tekort aan woningen ook opgelost kunnen worden door het #coronavirusNederland ? Of het gebrek aan zorg voor ouderen?  Ik vraag dit voor een vriend. 👇 https://t.co/uSLES6aiiO	0
Ik hoop dat iedereen doordrongen is  vd noodzaak dit #COVID19NL in te dammen. Alleen al om het zorgsysteem op peil te houden, om de zwakkeren te beschermen, om economische schade te beperken. Was je handen veelvuldig, zo min mogelijk niet noodzakelijk contact, blijf thuis etc.	0
Ik heb heel veel respect voor Gommers en vertrouw hem ook. #Gommers #Covid_19 #Coronavirusnl #Corona	0
Krijgen we fietsvergoeding als we 10km op de hometrainer rijden voor we beginnen werken? #durftevragen #thuiswerken #teleworking #samentegencorona #Covid_19 #corona #CoronaHumor #humor #StayAtHome #blijfinuwkot #StaySafe #StayHomeSaveLives	0
#blijfthuis hoe moeilijk ook https://t.co/QTGdrZit62	0
Hoeveel geld heeft de koninklijke familie al beschikbaar gesteld voor onderzoek naar een corona vaccin? #Koninklijkhuis #COVID19	0
Sapperdeflap! Pipo de Jonge aan het woord bij het #coronadebat.	0
'Geography from home'. Site met ideeën en materiaal voor #aardrijkskundig #thuisonderwijs van de @The_GA .  https://t.co/RcLudZrSfE	0
#ipason #MigrateM3 #minidesktop #minipc #pentium #G5400 #4GRAM #240GSSD Nu te koop op #Bolcom !!! #Thuiswerken https://t.co/UK8baZ9jx3	0
"Sluiten de ""winkels"" in de Aarschotstraat in Brussel ook? Asking for a friend. #COVID19BE"	0
De opvoering van mijn Hamlet-bewerking is door het #coronavirusNederland tot nader order uitgesteld. @toneelmakerij, het artistieke team en de acteurs waaronder @SABRISAAD hebben zo hard gewerkt om een prachtige voorstelling te maken, vanavond zou de 1e try-out zijn.	0
Lag voor de deur. Van kleinzoon gekregen.  En daar werd zelfs ik even stil van. #COVID19NL #coronavirus https://t.co/QHh9ZOKQmo	0
